Q8TGM7
Q1HPS0
P18432
Q9QVP4
Q01449
P02610
P51667
P08733
P10916
Q3SZE5
Q7M2V4
Q62082
P02611
Q02045
Q5RC34
P19105
Q5E9E2
P13832
P40423
Q3THE2
O14950
Q09510
P41691
A4IF97
P24032
P24732
P97457
P04466
P02608
P18666
Q64122
Q9CQ19
P07461
Q0P571
Q96A32
P02609
Q5RBA4
P29269
P24844
P02612
Q9BUA6
P19626
P13543
P19625
P05963
P05944
P04113
P08052
P04112
P27166
P21251
A8I1Q0
A3E4D8
A3E3H0
A3E4F9
A4UHC0
P23286
P02598
Q8STF0
P11121
P62154
P62152
P62145
P62153
P62148
P62147
Q40302
P62155
P62151
Q6YNX6
P62161
P62160
Q5RAD2
Q71UH6
P62156
Q9U6D3
P62204
P62158
Q6PI52
Q6IT78
P62149
P62157
P62144
P53440
P02594
P61859
Q9UWF0
P61860
P61861
Q7T3T2
O16305
P60204
P60205
P60206
P02597
P41040
P02595
O96081
P80164
O82018
Q9UB37
P13868
Q71UH5
P27165
Q95NR9
Q9GRJ1
O02367
Q95NI4
O96102
O94739
A8CEP3
P11120
P05933
P04353
Q6F332
A2Y609
P27482
Q5U206
Q03509
P62162
P62163
Q0JNS6
A2WN93
P18061
P0DH96
P0DH95
P27161
P93171
P11118
Q0JNL7
P02613
P27164
P62184
P02599
P69098
P69097
O97341
P24044
P62203
Q9HFY6
Q8X187
A2WNH1
P17928
P27163
P41041
Q7DMN9
Q0IUU4
Q682T9
P0DH98
P0DH97
P62201
Q7Y052
P62202
P59220
P62199
P62200
P84339
P07463
Q6R520
Q9XZP2
P93087
P15094
P04464
P62146
Q9D6P8
P08051
P48976
P04352
Q9LIK5
P62150
Q0IQB6
Q39752
Q8S1Y9
Q40642
P05932
P05419
P13833
P04630
O23320
P06787
P14533
P50668
P67793
P50669
P00400
P67794
P34838
B0FWC7
P00399
Q34391
Q34388
Q34345
P33504
Q37705
Q36421
Q36724
Q1HKA1
Q9ZZ64
P00397
P05503
Q6EGI3
Q00527
P48888
O21327
Q9ZXY2
O03198
Q8W9N4
Q6EGH8
Q6EGH9
Q8LX30
Q6EGI2
Q6EGH7
P38595
O79429
O99041
Q6EGI0
O79876
Q96062
P00396
Q6EMS9
P48659
P92477
Q6EGJ1
Q6EGI5
Q36452
O78749
Q599A1
Q6EGI4
P41310
P24983
Q6EGJ0
P92661
Q9TA27
Q9ZZY9
Q2I3H2
P41293
O21399
Q38PS0
O99818
Q9T9W1
Q9T9X0
P92692
P24984
P00395
Q5Y4Q8
Q34800
Q7GEN7
Q94WR7
Q35536
O79403
Q36775
O03167
Q9B840
Q9ZZM6
O78681
Q4JQI5
Q9MIY8
P48170
Q9ZZ52
P24985
P34188
P18943
P00398
Q34941
O79672
O79548
Q95911
P12700
O21079
Q33820
P15544
P48887
P25001
P20374
Q35101
P24794
